1110:  [INFO] SCORE: 0.99406036
1113:  [INFO] SCORE: 0.9897325
1116:  [INFO] SCORE: 0.796266
1119:  [INFO] SCORE: 0.9811077
1122:  [INFO] SCORE: 0.99443484
1125:  [INFO] SCORE: 0.9890623
1128:  [INFO] SCORE: 0.99111135
1131:  [INFO] SCORE: 0.9302532
1134:  [INFO] SCORE: 0.99190435
1137:  [INFO] SCORE: 0.99193998
1140:  [INFO] SCORE: 0.9849492
1143:  [INFO] SCORE: 0.9359949
1146:  [INFO] SCORE: 0.9896268
1149:  [INFO] SCORE: 0.99093548
1152:  [INFO] SCORE: 0.9923483
1155:  [INFO] SCORE: 0.9339822
1158:  [INFO] SCORE: 0.9486048
1161:  [INFO] SCORE: 0.989752
1164:  [INFO] SCORE: 0.9858113
1167:  [INFO] SCORE: 0.9252485
1170:  [INFO] SCORE: 0.9680586
1173:  [INFO] SCORE: 0.99255937
1176:  [INFO] SCORE: 0.9850517
1179:  [INFO] SCORE: 0.9894511
1182:  [INFO] SCORE: 0.99571752
1185:  [INFO] SCORE: 0.9891801
1188:  [INFO] SCORE: 0.9602936
1191:  [INFO] SCORE: 0.99271528
1194:  [INFO] SCORE: 0.803449
1197:  [INFO] SCORE: 0.9952588
1200:  [INFO] SCORE: 0.999644305
1203:  [INFO] SCORE: 0.99263464
1206:  [INFO] SCORE: 0.837636
1209:  [INFO] SCORE: 0.842375
1212:  [INFO] SCORE: 0.9169667
1215:  [INFO] SCORE: 0.9345135
1218:  [INFO] SCORE: 0.9328929
1221:  [INFO] SCORE: 0.89172
1224:  [INFO] SCORE: 0.99317492
1227:  [INFO] SCORE: 0.9261462
1230:  [INFO] SCORE: 0.9375962
1233:  [INFO] SCORE: 0.99439493
1236:  [INFO] SCORE: 0.9347984
1239:  [INFO] SCORE: 0.99113122
1242:  [INFO] SCORE: 0.9816507
1245:  [INFO] SCORE: 0.9750877
1248:  [INFO] SCORE: 0.99380854
1251:  [INFO] SCORE: 0.99207025
1254:  [INFO] SCORE: 0.878576
1257:  [INFO] SCORE: 0.9898586
1260:  [INFO] SCORE: 0.99260748
1263:  [INFO] SCORE: 0.9489869
1266:  [INFO] SCORE: 0.9831294
1269:  [INFO] SCORE: 0.9876404
1272:  [INFO] SCORE: 0.706249
1275:  [INFO] SCORE: 0.99498085
1278:  [INFO] SCORE: 0.99422282
1281:  [INFO] SCORE: 0.99549286
1284:  [INFO] SCORE: 0.9459199
1287:  [INFO] SCORE: 0.755273
1290:  [INFO] SCORE: 0.99823694
1293:  [INFO] SCORE: 0.99331689
1296:  [INFO] SCORE: 0.9701498
1299:  [INFO] SCORE: 0.999013654
1302:  [INFO] SCORE: 0.9897839
1305:  [INFO] SCORE: 0.99774546
1308:  [INFO] SCORE: 0.849433
1311:  [INFO] SCORE: 0.9860124
1314:  [INFO] SCORE: 0.99456887
1317:  [INFO] SCORE: 0.894114
1320:  [INFO] SCORE: 0.99242634
1323:  [INFO] SCORE: 0.9950461
1326:  [INFO] SCORE: 0.870507
1329:  [INFO] SCORE: 0.82661
1332:  [INFO] SCORE: 0.9880013
1335:  [INFO] SCORE: 0.854252
1338:  [INFO] SCORE: 0.9834573
